#Acknowledge use of the ATNF Pulsar Catalogue, both by giving the Catalogue web address:http://www.atnf.csiro.au/people/pulsar/psrcat/ and by referencing the paper: Manchester, R. N., Hobbs, G. B., Teoh, A. & Hobbs, M., AJ, 129, 1993-2006 (2005) 
210,J0737-3039B,lbk+04,0.36056035506,1,ksm+06,48.920,5,ksm+06,
211,J0738-4042,lvw68,2.66723578343,5,wmz+01,160.8,7,tml93,
212,J0742-2822,fss73,5.9965594774,7,hlk+04,73.782,2,js06,
213,J0745-5353,mlt+78,4.654705749,11,nmc81,122.3,19,nmc81,
214,J0746-4529,bjd+06,0.358291285840,7,bjd+06,134.57,12,bjd+06,
215,J0749-4247,mld+96,0.912865060380,12,dsb+98,104.595,9,dsb+98,
216,J0751+1807,lzc95,287.457858630106,2,nss+05,30.2489,3,nss+05,
217,J0754+3231,dth78,0.6933132465193,10,hlk+04,39.949,8,hlk+04,
218,J0758-1528,mlt+78,1.465705762893,3,hlk+04,63.327,3,hlk+04,
219,J0804-3647,bkl+13,0.45620710683,4,bkl+13,196,5,bkl+13,
220,J0806-4123,hmz+04,0.0879477624,9,kk09,*,0,*
221,J0807-5421,bbb+12,1.89881758784,11,bbb+12,165.03,7,bbb+12,
222,J0808-3937,bkl+13,1.15426885859,4,bkl+13,165,4,bkl+13,
223,J0809-4753,mlt+78,1.827487933317,14,smd93,228.3,12,nmc81,
224,J0812-3905,bkl+13,2.072126886239,18,bkl+13,327,4,bkl+13,
225,J0814+7429,cp68,0.7738491923691,13,hlk+04,6.116,18,hlk+04,
226,J0815+0939,clm+05,1.55000023848,13,clm+05,52.667,9,clm+05,
227,J0818-3049,bkl+13,1.3093429439,9,bkl+13,133.7,2,bkl+13,
228,J0818-3232,bjd+06,0.462693288405,4,bjd+06,131.80,7,bjd+06,
229,J0820-1350,vl70,0.8076699283629,5,hlk+04,40.938,3,hlk+04,
230,J0820-3826,bkl+13,8.01048537807,5,bkl+13,195.56,18,bkl+13,
231,J0820-3921,bjd+06,0.93147459585,4,bjd+06,179.4,1,bjd+06,
232,J0820-4114,mlt+78,1.83336361524,7,antt94,113.4,2,antt94,
233,J0821-4221,bjd+06,2.520617165172,13,bjd+06,270.6,1,bjd+06,
234,J0821-4300,gh09,8.86529105448,32,gha13,*,0,*
235,J0823+0159,mlt+78,1.1562393852218,11,hlk+04,23.727,6,hlk+04,
236,J0826+2637,cls68,1.88444396743,9,hlk+04,19.454,4,hlk+04,
237,J0828-3417,mlt+78,0.54085663363,3,hlk+04,52.2,6,bgg08,
238,J0831-4406,kbm+03,3.20848561308,12,kbm+03,254.0,5,kbm+03,
239,J0834-4159,kbm+03,8.2565236265,11,kbm+03,240.5,15,kbm+03,
240,J0834-60,ebvb01,2.59980,5,ebvb01,20,6,ebvb01,
241,J0835-3707,mlc+01,1.84704824843,5,mlc+01,112.3,3,mlc+01,
242,J0835-42,bbb+12,1.354280,0,bbb+12,190,0,bbb+12,
243,J0835-4510,lvm68,11.1946499395,5,dml02,67.99,1,dml02,
244,J0837+0610,phbc68,0.7850721411512,4,hlk+04,12.889,6,hlk+04,
245,J0837-4135,lvw68,1.330453137079,15,wmz+01,147.29,7,hfs+04,
246,J0838-2621,bjd+06,3.24064376896,3,bjd+06,116.90,5,bjd+06,
247,J0838-3947,mlc+01,0.5868731596,3,mlc+01,219,11,mlc+01,
248,J0840-5332,mlt+78,1.38770864065,4,dmk+93,156.5,10,cmh91,
249,J0842-4851,mlt+78,1.5519418106,3,nmc81,196.85,8,hfs+04,
250,J0843+0719,bjd+06,0.73214,3,bjd+06,36.6,3,bjd+06,
251,J0843-5022,ebvb01,4.78570353797,4,ebvb01,178.47,9,ebvb01,
252,J0846-3533,mlt+78,0.895979340143,4,hlk+04,94.16,11,hlk+04,
253,J0847-4316,mll+06,0.167294222511,20,mlk+09,292.5,9,mlk+09,
254,J0849-6322,ebvb01,2.71773651370,4,ebvb01,91.29,9,ebvb01,
255,J0849+8028,dtws85,0.624130907903,12,hlk+04,34.66,17,hlk+04,
256,J0855-3331,mlt+78,0.788932412575,3,hlk+04,86.635,16,hlk+04,
257,J0855-4644,kbm+03,15.45926440866,10,kbm+03,238.2,16,kbm+03,
258,J0855-4658,kbm+03,1.73891153582,13,kbm+03,472.7,12,kbm+03,
259,J0856-6137,mlt+78,1.0389518020,4,nmc81,95,3,nmc81,
260,J0857-4424,lml+98,3.060217021895,19,dsb+98,184.429,4,dsb+98,
261,J0900-3144,bjd+06,90.011843383453,10,bjd+06,75.702,10,bjd+06,
262,J0901-4624,mlc+01,2.26246836299,7,mlc+01,198.8,3,mlc+01,
263,J0902-6325,mlt+78,1.5144324546,5,nmc81,76,7,nmc81,
264,J0904-4246,mlt+78,1.0360858349,5,nmc81,145.8,5,hfs+04,
265,J0904-7459,mlt+78,1.8196603117,4,nmc81,51.1,16,nmc81,
266,J0905-4536,mld+96,1.0118583757,3,dsb+98,179.7,0,bbb+12,
267,J0905-5127,mld+96,2.887774414520,17,dsb+98,196.43,0,*
268,J0905-6019,bbb+12,2.93380591708,7,bbb+12,91.4,4,bbb+12,
269,J0907-5157,mlt+78,3.94390170534,5,smd93,103.72,0,*
270,J0908-1739,mlt+78,2.4898809777858,11,hlk+04,15.888,3,hlk+04,
271,J0908-4913,dmd+88,9.367278508,3,dmd+88,180.37,4,hfs+04,
272,J0909-7212,mlt+78,0.7337349556,3,nmc81,54.3,16,nmc81,
273,J0910+77,th69,0.63329,3,th69,*,0,*
274,J0912-3851,bbb+12,0.6552714627,13,bbb+12,70,1,bbb+12,
275,J0919-6040,bbb+12,0.8217090786,5,bbb+12,82.5,3,bbb+12,
276,J0921+6254,dtws85,0.6377575349233,15,hlk+04,13.158,18,hlk+04,
277,J0922+0638,mlt+78,2.3221947716,7,sha10,27.271,6,hlk+04,
278,J0922-4949,mlc+01,1.052311967403,8,mlc+01,237.1,3,mlc+01,
279,J0922-52,mlb+12,103.305785,0,mlb+12,122.4,0,mlb+12,
280,J0923-31,bb10,*,,0,*,72,20,bb10,
281,J0924-5302,mlt+78,1.33995232345,18,nmc81,152.9,5,nmc81,
282,J0924-5814,mlt+78,1.35226261821,8,dmk+93,57.4,3,hfs+04,
283,J0927+23,rtj+96,1.312532,6,rtj+96,23,2,rtj+96,
284,J0932-3217,ebvb01,0.51769836154,6,ebvb01,102.1,8,ebvb01,
285,J0932-5327,lfl+06,0.22767847553,3,lfl+06,122,11,lfl+06,
286,J0934-4154,ebvb01,1.75312729201,5,ebvb01,113.79,16,ebvb01,
